,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
20,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,-0.2119,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906,-0.6906
21,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,-0.2085,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740,-0.6740
22,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,-0.1958,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189,-0.6189
23,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,-0.1793,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552,-0.5552
24,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,-0.1423,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285,-0.4285
25,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,-0.1334,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999,-0.3999
26,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,-0.1142,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395,-0.3395
27,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,-0.1039,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077,-0.3077
28,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,-0.0582,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704,-0.1704
29,1.0000,0.8922,0.7916,0.7778,0.6997,0.6704,0.6178,0.5713,0.5556,0.5476,0.4907,0.4824,0.4487,0.4229,0.4142,0.4055,0.3517,0.3426,0.3333,0.2958,0.2669,0.2571,0.2273,0.1967,0.1440,0.1331,0.1111,0.0999,0.0541,-0.0067,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196,-0.0196
